Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeID,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating
41,0,1,Research & Development,29,1,Life Sciences,43,1,1,Laboratory Technician,0,23790.0,1,0.12,0,22,6,22,0,4,4.0,2.0,3.0,3,3
18,0,1,Sales,7,3,Life Sciences,44,1,1,Research Scientist,0,38120.0,1,0.15,0,0,3,0,0,0,4.0,3.0,3.0,3,3
28,0,1,Research & Development,9,3,Medical,45,1,1,Sales Representative,0,46480.0,0,0.23,2,9,2,8,0,7,2.0,1.0,3.0,2,4
31,0,1,Research & Development,8,1,Technical Degree,46,1,1,Manufacturing Director,1,29360.0,4,0.12,1,10,2,8,7,7,2.0,4.0,2.0,3,3
39,0,1,Sales,5,4,Marketing,47,0,2,Human Resources,2,21050.0,0,0.2,0,19,3,18,3,7,3.0,4.0,2.0,3,4
36,0,0,Research & Development,5,4,Life Sciences,48,1,1,Sales Executive,1,85780.0,7,0.21,0,11,4,9,0,8,2.0,2.0,3.0,3,4
32,0,1,Sales,2,3,Marketing,49,1,2,Laboratory Technician,1,27060.0,1,0.21,1,13,4,13,4,8,4.0,3.0,2.0,3,4
38,0,1,Research & Development,5,2,Life Sciences,50,0,3,Research Scientist,1,63840.0,3,0.19,2,19,4,10,0,1,1.0,2.0,3.0,2,3
58,0,0,Research & Development,2,3,Life Sciences,51,1,2,Manufacturing Director,2,39680.0,2,0.13,2,12,3,5,1,2,4.0,3.0,3.0,2,3
31,0,1,Research & Development,20,1,Technical Degree,52,0,3,Research Scientist,1,99070.0,0,0.13,1,6,3,5,0,3,3.0,4.0,3.0,2,3
31,0,1,Sales,7,4,Marketing,53,1,2,Sales Executive,1,132250.0,3,0.21,1,9,2,2,1,0,1.0,1.0,3.0,3,4
45,0,2,Research & Development,3,1,Medical,54,0,1,Sales Executive,2,35400.0,1,0.13,0,24,6,24,9,11,1.0,1.0,3.0,3,3
31,0,1,Sales,16,4,Marketing,55,0,2,Research Scientist,2,28040.0,0,0.19,2,3,0,2,2,2,3.0,4.0,1.0,3,3
33,0,2,Research & Development,9,3,Life Sciences,56,1,4,Research Director,1,193920.0,6,0.12,1,12,3,10,8,8,4.0,2.0,3.0,3,3
39,0,1,Sales,1,4,Life Sciences,57,1,1,Sales Executive,1,196650.0,1,0.22,1,21,6,21,11,10,3.0,1.0,3.0,3,4
43,0,2,Research & Development,7,4,Medical,58,1,4,Research Scientist,0,24390.0,0,0.15,0,9,2,8,1,7,3.0,4.0,3.0,3,3
49,0,1,Research & Development,1,3,Life Sciences,59,1,3,Manufacturing Director,0,73140.0,7,0.22,0,25,2,7,0,7,3.0,3.0,3.0,3,4
52,1,1,Research & Development,7,1,Life Sciences,60,0,2,Research Scientist,1,47740.0,2,0.18,1,11,2,8,7,7,3.0,2.0,2.0,3,3
27,0,1,Research & Development,15,4,Medical,61,1,3,Research Scientist,0,39020.0,1,0.22,0,4,2,4,1,2,3.0,2.0,2.0,3,4
32,0,1,Research & Development,1,3,Life Sciences,62,1,3,Research Scientist,1,26620.0,1,0.11,1,13,6,13,11,9,3.0,2.0,3.0,4,3
27,0,1,Research & Development,13,2,Medical,63,0,4,Research Director,0,28560.0,1,0.12,2,5,5,5,0,4,4.0,3.0,3.0,4,3
31,0,1,Sales,24,3,Life Sciences,64,1,2,Healthcare Representative,2,10810.0,4,0.11,3,13,4,7,1,7,4.0,4.0,3.0,4,3
32,0,1,Research & Development,7,3,Technical Degree,65,1,2,Healthcare Representative,0,24720.0,7,0.13,0,10,2,7,0,7,1.0,4.0,2.0,3,3
28,1,1,Research & Development,9,4,Medical,66,1,1,Sales Executive,1,56730.0,5,0.14,1,5,4,3,2,2,1.0,4.0,2.0,2,3
30,0,1,Research & Development,13,3,Life Sciences,67,0,4,Research Director,1,41970.0,1,0.13,0,11,3,10,1,9,4.0,4.0,3.0,3,3
31,0,2,Research & Development,2,1,Life Sciences,68,0,1,Manager,1,97130.0,1,0.17,0,10,5,10,8,9,3.0,3.0,3.0,2,3
39,0,2,Research & Development,19,4,Medical,69,0,1,Research Scientist,1,20620.0,1,0.13,0,21,4,21,13,3,3.0,4.0,3.0,3,3
39,1,1,Research & Development,1,1,Medical,70,0,1,Laboratory Technician,1,42840.0,4,0.17,1,12,0,1,0,0,4.0,3.0,2.0,3,3
33,0,2,Sales,4,2,Life Sciences,71,1,4,Research Scientist,0,47880.0,3,0.11,1,9,0,7,0,1,2.0,4.0,2.0,3,3
47,0,1,Research & Development,4,3,Life Sciences,72,0,2,Healthcare Representative,1,59060.0,4,0.23,0,21,4,3,1,1,4.0,3.0,3.0,4,4
43,0,2,Research & Development,14,3,Medical,73,0,5,Research Director,2,38860.0,1,0.17,2,9,2,9,0,0,3.0,3.0,4.0,3,3
27,0,0,Research & Development,2,3,Life Sciences,74,1,1,Research Director,1,168230.0,0,0.17,0,6,3,5,1,4,3.0,2.0,3.0,3,3
54,0,2,Research & Development,1,4,Life Sciences,75,1,2,Research Scientist,0,29330.0,3,0.12,2,20,2,4,0,3,4.0,3.0,2.0,3,3
43,0,1,Research & Development,7,2,Life Sciences,76,0,2,Manager,1,65000.0,8,0.23,0,10,3,1,0,0,3.0,1.0,2.0,3,4
45,0,1,Sales,3,1,Marketing,77,0,1,Sales Executive,1,171740.0,9,0.14,1,12,6,10,9,8,4.0,4.0,3.0,3,3
40,0,1,Research & Development,2,4,Other,78,1,4,Research Scientist,1,50330.0,2,0.14,2,6,6,4,0,2,2.0,4.0,2.0,3,3
29,1,1,Research & Development,29,3,Medical,79,0,1,Research Scientist,1,23070.0,1,0.13,1,7,0,7,0,7,2.0,1.0,2.0,3,3
29,0,1,Human Resources,8,3,Medical,80,1,3,Sales Representative,0,25870.0,0,0.22,2,4,3,3,2,2,2.0,4.0,3.0,3,4
30,0,1,Research & Development,10,3,Life Sciences,81,1,2,Research Scientist,2,55070.0,1,0.12,2,10,2,10,1,2,4.0,3.0,3.0,2,3
27,0,1,Research & Development,11,2,Medical,82,1,1,Manager,1,43930.0,1,0.18,1,8,2,8,0,7,2.0,2.0,3.0,2,3
37,0,1,Sales,1,4,Life Sciences,83,1,2,Healthcare Representative,2,133480.0,7,0.14,0,8,4,6,0,4,4.0,4.0,2.0,3,3
38,0,1,Research & Development,28,4,Medical,84,1,1,Laboratory Technician,2,65830.0,0,0.12,0,12,1,11,2,9,3.0,4.0,3.0,3,3
31,0,1,Research & Development,6,3,Medical,85,0,3,Manager,0,81030.0,1,0.15,1,11,5,11,4,10,3.0,4.0,3.0,3,3
29,0,1,Research & Development,3,4,Life Sciences,86,1,3,Sales Executive,2,39780.0,1,0.11,0,7,0,7,1,7,4.0,2.0,3.0,3,3
35,0,1,Sales,16,2,Technical Degree,87,1,3,Manager,0,25440.0,0,0.13,1,17,3,16,0,13,3.0,2.0,3.0,4,3
23,0,1,Research & Development,20,4,Life Sciences,88,1,1,Manufacturing Director,2,53990.0,1,0.23,0,4,2,4,0,2,3.0,4.0,2.0,2,4
41,0,1,Research & Development,9,2,Life Sciences,89,0,1,Laboratory Technician,0,54870.0,6,0.19,2,8,0,5,1,2,4.0,2.0,3.0,3,3
47,0,2,Sales,1,3,Medical,90,0,2,Laboratory Technician,0,68340.0,3,0.16,1,5,2,0,0,0,2.0,3.0,3.0,4,3
42,0,1,Research & Development,3,4,Life Sciences,91,1,1,Manager,0,10910.0,2,0.22,0,16,0,1,0,0,1.0,4.0,3.0,1,4
29,0,0,Sales,22,4,Marketing,92,1,2,Human Resources,1,57360.0,1,0.22,0,4,1,4,0,2,4.0,3.0,2.0,2,4
42,0,1,Sales,7,4,Medical,93,1,3,Research Scientist,2,22260.0,0,0.12,1,4,3,3,1,0,3.0,3.0,3.0,2,3
32,0,1,Research & Development,2,3,Medical,94,1,2,Research Scientist,1,57470.0,1,0.13,0,8,0,8,0,7,3.0,2.0,3.0,3,3
48,0,1,Sales,13,4,Medical,95,1,4,Sales Executive,1,98540.0,3,0.16,1,15,2,0,0,0,1.0,3.0,1.0,2,3
37,0,1,Research & Development,8,5,Technical Degree,96,1,2,Manufacturing Director,2,54670.0,4,0.12,0,13,2,7,6,7,3.0,1.0,3.0,3,3
30,0,0,Sales,25,4,Other,97,1,1,Healthcare Representative,1,53800.0,7,0.21,1,4,0,2,2,2,4.0,3.0,4.0,3,4
26,0,1,Sales,28,3,Medical,98,0,5,Laboratory Technician,1,51510.0,1,0.15,3,8,3,8,7,7,3.0,3.0,3.0,3,3
42,0,1,Sales,2,2,Medical,99,0,1,Laboratory Technician,0,21330.0,3,0.13,2,14,2,1,0,0,1.0,4.0,3.0,3,3
21,1,2,Research & Development,9,3,Medical,100,0,4,Manufacturing Director,0,178750.0,1,0.12,0,3,5,3,1,2,1.0,2.0,3.0,2,3
36,0,0,Human Resources,28,3,Human Resources,101,1,2,Laboratory Technician,0,24320.0,4,0.22,0,7,4,1,0,0,4.0,4.0,3.0,1,4
36,0,2,Research & Development,6,3,Life Sciences,102,0,2,Research Scientist,1,47710.0,4,0.13,1,16,2,13,1,12,1.0,4.0,3.0,3,3
57,0,1,Research & Development,21,4,Life Sciences,103,1,5,Research Scientist,1,191610.0,2,0.18,0,15,2,3,1,2,4.0,3.0,3.0,1,3
40,0,1,Research & Development,8,3,Other,104,1,2,Sales Executive,1,50870.0,3,0.14,1,10,3,7,1,7,4.0,3.0,3.0,3,3
21,0,0,Research & Development,1,5,Life Sciences,105,0,2,Manager,0,28630.0,1,0.14,0,3,2,3,2,2,1.0,4.0,2.0,1,3
33,1,1,Human Resources,28,2,Human Resources,106,0,5,Manager,0,55610.0,1,0.21,1,1,3,1,0,0,4.0,3.0,3.0,1,4
37,0,1,Research & Development,5,3,Life Sciences,107,1,4,Research Scientist,1,21440.0,6,0.19,0,17,3,5,0,3,3.0,1.0,3.0,4,3
46,0,0,Sales,2,4,Marketing,108,0,2,Laboratory Technician,1,30650.0,2,0.11,0,7,3,1,0,0,3.0,3.0,4.0,3,3
41,1,2,Research & Development,16,1,Medical,109,0,1,Research Scientist,0,28100.0,1,0.11,0,8,3,8,7,7,1.0,2.0,3.0,4,3
50,0,1,Research & Development,9,3,Medical,110,0,3,Laboratory Technician,0,98880.0,6,0.15,0,20,2,4,1,3,4.0,4.0,3.0,3,3
40,1,1,Research & Development,8,3,Medical,111,0,1,Healthcare Representative,1,86280.0,2,0.2,0,8,2,6,1,0,3.0,3.0,3.0,2,4
31,0,1,Research & Development,1,3,Life Sciences,112,1,4,Human Resources,0,28670.0,0,0.24,0,3,5,2,2,2,3.0,2.0,3.0,3,4
21,1,1,Human Resources,10,2,Human Resources,113,1,1,Laboratory Technician,0,53730.0,1,0.12,1,1,2,1,0,0,3.0,2.0,3.0,3,3
29,0,1,Research & Development,1,3,Life Sciences,114,0,2,Research Director,0,66670.0,9,0.12,1,6,6,3,1,2,4.0,4.0,3.0,4,3
35,0,1,Research & Development,29,3,Life Sciences,115,0,3,Sales Executive,0,50030.0,9,0.15,0,10,2,1,0,0,3.0,2.0,3.0,3,3
28,0,1,Research & Development,2,2,Medical,117,1,3,Manager,0,28580.0,1,0.12,0,7,2,7,0,7,2.0,4.0,3.0,2,3
49,0,1,Sales,2,3,Technical Degree,118,1,2,Manufacturing Director,0,52040.0,8,0.14,1,26,3,5,0,0,2.0,3.0,3.0,3,3
51,0,1,Research & Development,1,2,Life Sciences,119,1,1,Sales Executive,1,41050.0,4,0.22,1,18,2,7,0,7,3.0,4.0,2.0,3,4
36,0,1,Sales,15,2,Life Sciences,120,1,1,Sales Executive,1,96790.0,4,0.12,0,6,1,2,2,2,4.0,3.0,3.0,3,3
34,1,0,Research & Development,7,3,Life Sciences,121,1,1,Sales Representative,0,56170.0,8,0.25,1,9,3,5,0,4,1.0,4.0,2.0,3,4
55,0,1,Sales,26,3,Marketing,122,1,1,Laboratory Technician,0,104480.0,2,0.13,0,30,3,5,1,2,3.0,4.0,3.0,3,3
24,0,1,Research & Development,1,3,Life Sciences,123,0,5,Manager,2,28970.0,1,0.18,3,5,4,5,0,3,4.0,3.0,4.0,3,3
30,0,1,Research & Development,3,3,Life Sciences,124,0,2,Manager,1,59680.0,1,0.13,0,1,3,1,0,0,3.0,2.0,3.0,3,3
26,1,2,Sales,14,3,Life Sciences,125,1,2,Manager,0,75100.0,0,0.18,3,7,3,6,0,4,3.0,3.0,3.0,3,3
22,0,1,Research & Development,16,5,Other,126,1,1,Research Scientist,1,29910.0,1,0.19,2,2,3,2,1,2,1.0,2.0,3.0,2,3
36,0,1,Research & Development,1,3,Medical,127,0,5,Healthcare Representative,1,196360.0,1,0.12,1,10,3,10,9,0,2.0,3.0,3.0,3,3
30,1,2,Sales,3,2,Marketing,128,1,3,Research Scientist,0,11290.0,9,0.19,0,3,2,1,0,0,3.0,4.0,3.0,2,3
37,0,1,Research & Development,10,1,Technical Degree,129,1,1,Sales Executive,2,133410.0,1,0.14,1,18,3,18,12,17,4.0,1.0,2.0,3,3
40,0,1,Research & Development,6,2,Medical,130,1,3,Research Scientist,2,43320.0,7,0.14,2,8,3,5,1,3,4.0,2.0,3.0,2,3
42,0,1,Research & Development,2,3,Medical,131,0,4,Manager,2,110310.0,3,0.12,1,8,2,5,1,2,2.0,1.0,3.0,2,3
37,0,1,Sales,9,1,Marketing,132,1,3,Sales Executive,0,44400.0,2,0.11,1,18,3,1,0,1,3.0,2.0,2.0,2,3
43,0,1,Sales,10,2,Life Sciences,133,0,1,Sales Executive,2,46170.0,1,0.11,0,25,2,25,3,9,1.0,2.0,3.0,3,3
40,0,1,Sales,6,2,Life Sciences,134,0,1,Laboratory Technician,1,26470.0,6,0.13,0,20,2,1,0,0,2.0,3.0,3.0,2,3
54,0,1,Human Resources,9,3,Life Sciences,135,0,2,Manufacturing Director,1,63230.0,4,0.23,1,24,2,4,1,2,1.0,1.0,2.0,2,4
34,0,0,Research & Development,28,3,Medical,136,1,1,Laboratory Technician,1,56770.0,9,0.2,1,6,3,3,1,2,3.0,3.0,3.0,3,4
31,0,1,Research & Development,10,4,Life Sciences,137,1,3,Sales Executive,1,21870.0,1,0.15,1,13,2,13,3,12,2.0,1.0,1.0,2,3
43,0,1,Sales,27,4,Life Sciences,139,1,2,Sales Representative,2,39770.0,4,0.18,1,8,3,5,0,2,3.0,3.0,3.0,3,3
25,0,1,Human Resources,7,2,Human Resources,140,1,1,Manufacturing Director,0,86330.0,1,0.19,1,5,2,5,1,3,2.0,4.0,3.0,4,3
37,0,0,Research & Development,1,3,Medical,141,1,3,Laboratory Technician,1,20080.0,3,0.22,0,15,5,13,10,7,2.0,3.0,3.0,2,4
31,0,1,Research & Development,24,1,Medical,142,1,3,Laboratory Technician,1,44400.0,1,0.13,1,4,2,4,3,2,4.0,1.0,3.0,3,3
39,0,2,Research & Development,26,4,Technical Degree,143,0,1,Sales Executive,2,30670.0,1,0.2,1,21,5,21,1,6,2.0,3.0,3.0,1,4
56,0,2,Research & Development,20,4,Life Sciences,144,0,3,Sales Executive,1,53210.0,9,0.14,0,36,1,7,7,7,3.0,1.0,2.0,3,3
30,0,1,Sales,5,4,Medical,145,0,2,Manufacturing Director,0,54100.0,0,0.17,1,6,2,5,4,4,2.0,3.0,3.0,3,3
41,0,1,Research & Development,7,3,Technical Degree,146,0,3,Research Scientist,1,27820.0,1,0.14,0,10,2,10,0,7,2.0,1.0,3.0,2,3
28,0,1,Research & Development,7,3,Medical,147,1,3,Healthcare Representative,2,119570.0,1,0.13,0,10,2,10,1,8,3.0,1.0,3.0,2,3
25,1,1,Research & Development,5,2,Life Sciences,148,0,3,Laboratory Technician,1,26600.0,5,0.13,0,6,3,2,0,2,1.0,1.0,3.0,3,3
52,0,1,Research & Development,26,2,Life Sciences,149,0,2,Sales Representative,1,33750.0,2,0.21,0,28,2,5,0,4,4.0,3.0,3.0,2,4
45,0,1,Research & Development,2,3,Medical,150,0,1,Sales Executive,1,50980.0,3,0.14,1,8,4,2,0,2,1.0,4.0,2.0,3,3
52,0,1,Research & Development,12,3,Medical,151,1,2,Research Scientist,1,48780.0,2,0.11,1,31,3,5,1,4,4.0,4.0,1.0,3,3
42,0,2,Sales,10,3,Marketing,152,0,2,Healthcare Representative,2,28370.0,2,0.13,1,19,0,5,0,2,1.0,3.0,3.0,2,3
30,0,1,Sales,25,3,Marketing,153,1,1,Sales Executive,0,24060.0,2,0.2,1,11,5,5,0,2,3.0,4.0,3.0,3,4
60,0,1,Research & Development,10,3,Life Sciences,154,0,1,Manufacturing Director,1,22690.0,5,0.18,1,33,4,29,11,10,1.0,1.0,1.0,3,3
46,0,1,Sales,19,4,Marketing,155,0,1,Sales Executive,2,41080.0,2,0.14,0,19,5,10,0,8,3.0,3.0,2.0,2,3
42,0,2,Research & Development,18,4,Technical Degree,156,1,4,Sales Executive,1,132060.0,0,0.13,2,7,2,6,0,4,4.0,4.0,4.0,3,3
24,1,1,Research & Development,27,2,Medical,157,1,1,Research Scientist,0,104220.0,1,0.17,1,6,0,5,1,4,1.0,2.0,3.0,2,3
34,1,2,Research & Development,5,3,Medical,158,1,2,Research Scientist,2,137440.0,0,0.2,1,3,3,2,1,0,4.0,3.0,2.0,3,4
38,0,2,Sales,3,3,Marketing,159,0,2,Sales Executive,1,49070.0,1,0.11,1,1,3,1,0,0,4.0,4.0,3.0,3,3
40,0,1,Sales,26,4,Marketing,160,0,1,Sales Executive,1,34820.0,0,0.18,1,21,2,20,1,12,3.0,3.0,3.0,2,3
26,0,1,Research & Development,3,2,Medical,161,0,4,Healthcare Representative,2,24360.0,1,0.24,0,3,2,3,0,2,1.0,4.0,1.0,4,4
30,0,0,Research & Development,15,3,Medical,162,0,2,Sales Executive,1,23800.0,4,0.18,3,9,2,5,1,4,3.0,4.0,1.0,2,3
29,0,1,Research & Development,8,3,Medical,163,0,3,Manufacturing Director,1,194310.0,1,0.11,0,10,3,10,0,7,2.0,3.0,3.0,3,3
29,1,1,Research & Development,19,4,Life Sciences,164,1,3,Research Scientist,1,17900.0,5,0.16,1,6,4,2,1,1,3.0,2.0,4.0,2,3
19,1,1,Research & Development,4,3,Medical,165,1,1,Sales Executive,0,76440.0,1,0.15,2,1,2,1,0,0,1.0,4.0,4.0,3,3
30,0,0,Research & Development,2,4,Life Sciences,166,0,3,Research Scientist,1,51310.0,0,0.15,1,10,2,9,7,8,3.0,1.0,3.0,3,3
57,0,1,Research & Development,2,2,Life Sciences,167,1,4,Research Scientist,2,63060.0,3,0.12,1,32,3,1,0,0,1.0,4.0,2.0,3,3
50,0,1,Sales,10,4,Life Sciences,168,0,3,Manager,1,47870.0,0,0.12,0,28,3,27,15,7,2.0,3.0,3.0,3,3
30,0,0,Sales,10,2,Life Sciences,169,1,3,Laboratory Technician,0,188800.0,0,0.22,1,12,3,11,6,7,3.0,4.0,2.0,3,4
60,0,2,Research & Development,16,3,Life Sciences,170,0,4,Laboratory Technician,1,23390.0,4,0.2,0,22,4,18,13,11,3.0,1.0,4.0,3,4
47,0,1,Research & Development,1,3,Technical Degree,171,1,5,Manufacturing Director,2,135700.0,5,0.16,2,20,2,5,0,4,1.0,4.0,3.0,2,3
46,0,1,Sales,4,1,Technical Degree,172,1,1,Laboratory Technician,1,67120.0,6,0.21,1,26,3,3,0,1,1.0,3.0,1.0,2,4
35,0,1,Research & Development,15,2,Medical,173,0,2,Laboratory Technician,0,54060.0,0,0.12,1,6,2,5,4,3,4.0,3.0,3.0,3,3
54,0,1,Research & Development,2,4,Medical,174,1,2,Human Resources,0,89380.0,7,0.11,3,19,2,1,0,0,3.0,3.0,3.0,3,3
34,0,1,Sales,8,2,Life Sciences,175,1,1,Laboratory Technician,2,24390.0,3,0.11,2,14,2,7,5,7,4.0,3.0,3.0,4,3
46,0,1,Research & Development,2,3,Life Sciences,176,1,1,Healthcare Representative,1,88370.0,2,0.18,0,15,3,3,1,2,3.0,4.0,3.0,2,3
31,0,1,Research & Development,7,3,Life Sciences,177,1,2,Research Director,2,53430.0,1,0.14,1,13,3,13,0,8,3.0,2.0,4.0,3,3
33,1,1,Research & Development,10,3,Life Sciences,178,0,4,Research Director,1,67280.0,7,0.22,0,15,2,7,7,7,2.0,3.0,4.0,2,4
33,1,1,Sales,5,4,Marketing,179,1,2,Research Director,2,66520.0,7,0.25,0,8,5,4,1,3,1.0,4.0,3.0,3,4
30,0,1,Research & Development,2,3,Life Sciences,180,1,1,Sales Executive,0,48500.0,0,0.12,1,4,4,3,1,2,4.0,2.0,3.0,3,3
35,0,1,Research & Development,12,2,Medical,181,0,2,Sales Representative,1,28090.0,4,0.23,1,10,2,8,0,0,4.0,3.0,3.0,1,4
31,1,2,Research & Development,22,2,Medical,182,0,2,Sales Executive,1,56890.0,3,0.15,2,12,2,1,0,0,1.0,3.0,3.0,2,3
34,1,2,Sales,17,1,Marketing,183,1,1,Research Director,2,20010.0,9,0.22,1,11,5,3,0,2,2.0,1.0,3.0,4,4
